Win Rate,Drafts,Packs,Starting Gems,Format
0.57,20,60,15000,Sealed
0.57,56,73,15000,Quick
0.57,29,102,15000,Competetive
0.57,36,108,15000,Sealed
0.57,56,81,15000,Quick
0.57,27,93,15000,Competetive
0.57,24,72,15000,Sealed
0.57,50,68,15000,Quick
0.57,26,89,15000,Competetive
0.57,27,81,15000,Sealed
0.57,48,68,15000,Quick
0.57,41,158,15000,Competetive
0.57,19,57,15000,Sealed
0.57,48,67,15000,Quick
0.57,45,176,15000,Competetive
0.57,18,54,15000,Sealed
0.57,46,64,15000,Quick
0.57,29,102,15000,Competetive
0.57,21,63,15000,Sealed
0.57,49,72,15000,Quick
0.57,41,158,15000,Competetive
0.57,25,75,15000,Sealed
0.57,46,66,15000,Quick
0.57,27,98,15000,Competetive
0.57,21,63,15000,Sealed
0.57,47,70,15000,Quick
0.57,29,100,15000,Competetive
0.57,32,96,15000,Sealed
0.57,49,73,15000,Quick
0.57,33,118,15000,Competetive
0.57,13,39,15000,Sealed
0.57,37,51,15000,Quick
0.57,26,86,15000,Competetive
0.57,25,75,15000,Sealed
0.57,46,64,15000,Quick
0.57,24,81,15000,Competetive
0.57,26,78,15000,Sealed
0.57,46,65,15000,Quick
0.57,36,136,15000,Competetive
0.57,18,54,15000,Sealed
0.57,47,64,15000,Quick
0.57,29,103,15000,Competetive
0.57,18,54,15000,Sealed
0.57,53,79,15000,Quick
0.57,25,80,15000,Competetive
0.57,15,45,15000,Sealed
0.57,61,91,15000,Quick
0.57,28,96,15000,Competetive
0.57,14,42,15000,Sealed
0.57,44,58,15000,Quick
0.57,24,78,15000,Competetive
0.57,22,66,15000,Sealed
0.57,45,65,15000,Quick
0.57,30,108,15000,Competetive
0.57,20,60,15000,Sealed
0.57,44,62,15000,Quick
0.57,33,116,15000,Competetive
0.57,19,57,15000,Sealed
0.57,77,112,15000,Quick
0.57,26,85,15000,Competetive
0.57,11,33,15000,Sealed
0.57,48,66,15000,Quick
0.57,31,111,15000,Competetive
0.57,33,99,15000,Sealed
0.57,49,64,15000,Quick
0.57,16,40,15000,Competetive
0.57,27,81,15000,Sealed
0.57,35,41,15000,Quick
0.57,39,145,15000,Competetive
0.57,19,57,15000,Sealed
0.57,47,67,15000,Quick
0.57,26,88,15000,Competetive
0.57,25,75,15000,Sealed
0.57,52,80,15000,Quick
0.57,40,150,15000,Competetive
0.57,21,63,15000,Sealed
0.57,58,82,15000,Quick
0.57,32,116,15000,Competetive
0.57,23,69,15000,Sealed
0.57,46,60,15000,Quick
0.57,34,123,15000,Competetive
0.57,22,66,15000,Sealed
0.57,45,61,15000,Quick
0.57,24,79,15000,Competetive
0.57,23,69,15000,Sealed
0.57,54,73,15000,Quick
0.57,33,121,15000,Competetive
0.57,23,69,15000,Sealed
0.57,53,81,15000,Quick
0.57,22,75,15000,Competetive
0.57,30,90,15000,Sealed
0.57,61,92,15000,Quick
0.57,42,161,15000,Competetive
0.57,21,63,15000,Sealed
0.57,49,72,15000,Quick
0.57,26,91,15000,Competetive
0.57,18,54,15000,Sealed
0.57,41,53,15000,Quick
0.57,60,238,15000,Competetive
0.57,22,66,15000,Sealed
0.57,40,52,15000,Quick
0.57,38,149,15000,Competetive
0.57,24,72,15000,Sealed
0.57,51,71,15000,Quick
0.57,17,43,15000,Competetive
0.57,16,48,15000,Sealed
0.57,42,53,15000,Quick
0.57,28,95,15000,Competetive
0.57,20,60,15000,Sealed
0.57,49,68,15000,Quick
0.57,23,76,15000,Competetive
0.57,21,63,15000,Sealed
0.57,42,60,15000,Quick
0.57,43,166,15000,Competetive
0.57,22,66,15000,Sealed
0.57,49,66,15000,Quick
0.57,31,115,15000,Competetive
0.57,16,48,15000,Sealed
0.57,64,96,15000,Quick
0.57,39,147,15000,Competetive
0.57,18,54,15000,Sealed
0.57,52,76,15000,Quick
0.57,26,89,15000,Competetive
0.57,13,39,15000,Sealed
0.57,51,70,15000,Quick
0.57,35,128,15000,Competetive
0.57,15,45,15000,Sealed
0.57,52,78,15000,Quick
0.57,31,112,15000,Competetive
0.57,18,54,15000,Sealed
0.57,43,59,15000,Quick
0.57,16,43,15000,Competetive
0.57,22,66,15000,Sealed
0.57,47,66,15000,Quick
0.57,35,129,15000,Competetive
0.57,21,63,15000,Sealed
0.57,47,65,15000,Quick
0.57,37,138,15000,Competetive
0.57,26,78,15000,Sealed
0.57,54,74,15000,Quick
0.57,40,152,15000,Competetive
0.57,24,72,15000,Sealed
0.57,37,47,15000,Quick
0.57,33,121,15000,Competetive
0.57,23,69,15000,Sealed
0.57,41,57,15000,Quick
0.57,22,68,15000,Competetive
0.57,19,57,15000,Sealed
0.57,53,77,15000,Quick
0.57,44,172,15000,Competetive
0.57,19,57,15000,Sealed
0.57,39,55,15000,Quick
0.57,20,59,15000,Competetive
0.57,20,60,15000,Sealed
0.57,44,67,15000,Quick
0.57,51,202,15000,Competetive
0.57,13,39,15000,Sealed
0.57,58,90,15000,Quick
0.57,48,189,15000,Competetive
0.57,15,45,15000,Sealed
0.57,49,72,15000,Quick
0.57,30,107,15000,Competetive
0.57,13,39,15000,Sealed
0.57,52,75,15000,Quick
0.57,20,58,15000,Competetive
0.57,18,54,15000,Sealed
0.57,56,77,15000,Quick
0.57,31,111,15000,Competetive
0.57,18,54,15000,Sealed
0.57,42,58,15000,Quick
0.57,48,188,15000,Competetive
0.57,26,78,15000,Sealed
0.57,53,74,15000,Quick
0.57,28,98,15000,Competetive
0.57,13,39,15000,Sealed
0.57,50,72,15000,Quick
0.57,20,64,15000,Competetive
0.57,13,39,15000,Sealed
0.57,46,64,15000,Quick
0.57,26,86,15000,Competetive
0.57,36,108,15000,Sealed
0.57,41,58,15000,Quick
0.57,24,77,15000,Competetive
0.57,41,123,15000,Sealed
0.57,44,62,15000,Quick
0.57,46,175,15000,Competetive
0.57,28,84,15000,Sealed
0.57,57,78,15000,Quick
0.57,24,80,15000,Competetive
0.57,17,51,15000,Sealed
0.57,53,75,15000,Quick
0.57,32,117,15000,Competetive
0.57,25,75,15000,Sealed
0.57,57,84,15000,Quick
0.57,24,78,15000,Competetive
0.57,18,54,15000,Sealed
0.57,52,69,15000,Quick
0.57,48,190,15000,Competetive
0.57,32,96,15000,Sealed
0.57,57,73,15000,Quick
0.57,31,113,15000,Competetive
0.57,19,57,15000,Sealed
0.57,47,65,15000,Quick
0.57,30,107,15000,Competetive
0.57,22,66,15000,Sealed
0.57,49,67,15000,Quick
0.57,35,124,15000,Competetive
0.57,34,102,15000,Sealed
0.57,47,68,15000,Quick
0.57,20,61,15000,Competetive
0.57,18,54,15000,Sealed
0.57,31,38,15000,Quick
0.57,28,97,15000,Competetive
0.57,17,51,15000,Sealed
0.57,35,49,15000,Quick
0.57,59,235,15000,Competetive
0.57,16,48,15000,Sealed
0.57,46,65,15000,Quick
0.57,22,76,15000,Competetive
0.57,17,51,15000,Sealed
0.57,55,78,15000,Quick
0.57,38,144,15000,Competetive
0.57,21,63,15000,Sealed
0.57,40,52,15000,Quick
0.57,18,55,15000,Competetive
0.57,22,66,15000,Sealed
0.57,63,89,15000,Quick
0.57,20,64,15000,Competetive
0.57,20,60,15000,Sealed
0.57,49,68,15000,Quick
0.57,21,67,15000,Competetive
0.57,21,63,15000,Sealed
0.57,52,73,15000,Quick
0.57,40,148,15000,Competetive
0.57,24,72,15000,Sealed
0.57,52,74,15000,Quick
0.57,23,75,15000,Competetive
0.57,27,81,15000,Sealed
0.57,54,82,15000,Quick
0.57,16,42,15000,Competetive
0.57,25,75,15000,Sealed
0.57,47,65,15000,Quick
0.57,25,86,15000,Competetive
0.57,23,69,15000,Sealed
0.57,44,63,15000,Quick
0.57,21,68,15000,Competetive
0.57,21,63,15000,Sealed
0.57,58,85,15000,Quick
0.57,32,113,15000,Competetive
0.57,22,66,15000,Sealed
0.57,49,74,15000,Quick
0.57,24,79,15000,Competetive
0.57,17,51,15000,Sealed
0.57,49,70,15000,Quick
0.57,22,70,15000,Competetive
0.57,18,54,15000,Sealed
0.57,46,59,15000,Quick
0.57,44,174,15000,Competetive
0.57,39,117,15000,Sealed
0.57,54,78,15000,Quick
0.57,28,98,15000,Competetive
0.57,15,45,15000,Sealed
0.57,49,75,15000,Quick
0.57,33,124,15000,Competetive
0.57,21,63,15000,Sealed
0.57,45,63,15000,Quick
0.57,41,156,15000,Competetive
0.57,19,57,15000,Sealed
0.57,38,55,15000,Quick
0.57,65,261,15000,Competetive
0.57,29,87,15000,Sealed
0.57,46,59,15000,Quick
0.57,32,120,15000,Competetive
0.57,20,60,15000,Sealed
0.57,39,55,15000,Quick
0.57,23,72,15000,Competetive
0.57,23,69,15000,Sealed
0.57,45,66,15000,Quick
0.57,36,127,15000,Competetive
0.57,17,51,15000,Sealed
0.57,58,82,15000,Quick
0.57,24,77,15000,Competetive
0.57,18,54,15000,Sealed
0.57,53,75,15000,Quick
0.57,46,181,15000,Competetive
0.57,23,69,15000,Sealed
0.57,46,69,15000,Quick
0.57,26,86,15000,Competetive
0.57,19,57,15000,Sealed
0.57,57,86,15000,Quick
0.57,32,113,15000,Competetive
0.57,19,57,15000,Sealed
0.57,46,68,15000,Quick
0.57,42,159,15000,Competetive
0.57,16,48,15000,Sealed
0.57,46,57,15000,Quick
0.57,18,49,15000,Competetive
0.57,27,81,15000,Sealed
0.57,47,65,15000,Quick
0.57,38,143,15000,Competetive
0.57,24,72,15000,Sealed
0.57,47,65,15000,Quick
0.57,21,63,15000,Competetive
0.57,14,42,15000,Sealed
0.57,41,51,15000,Quick
0.57,25,87,15000,Competetive
0.57,17,51,15000,Sealed
0.57,59,85,15000,Quick
0.57,28,96,15000,Competetive
0.57,25,75,15000,Sealed
0.57,42,58,15000,Quick
0.57,32,116,15000,Competetive
0.57,19,57,15000,Sealed
0.57,47,61,15000,Quick
0.57,27,92,15000,Competetive
0.57,21,63,15000,Sealed
0.57,56,78,15000,Quick
0.57,20,63,15000,Competetive
0.57,18,54,15000,Sealed
0.57,57,84,15000,Quick
0.57,30,104,15000,Competetive
0.57,30,90,15000,Sealed
0.57,43,60,15000,Quick
0.57,19,55,15000,Competetive
0.57,21,63,15000,Sealed
0.57,54,76,15000,Quick
0.57,33,121,15000,Competetive
0.57,22,66,15000,Sealed
0.57,50,69,15000,Quick
0.57,36,132,15000,Competetive
0.57,21,63,15000,Sealed
0.57,45,59,15000,Quick
0.57,20,62,15000,Competetive
0.57,25,75,15000,Sealed
0.57,54,74,15000,Quick
0.57,28,100,15000,Competetive
0.57,21,63,15000,Sealed
0.57,47,66,15000,Quick
0.57,33,121,15000,Competetive
0.57,17,51,15000,Sealed
0.57,47,66,15000,Quick
0.57,17,45,15000,Competetive
0.57,19,57,15000,Sealed
0.57,50,75,15000,Quick
0.57,20,62,15000,Competetive
0.57,16,48,15000,Sealed
0.57,53,83,15000,Quick
0.57,32,113,15000,Competetive
0.57,20,60,15000,Sealed
0.57,68,99,15000,Quick
0.57,38,139,15000,Competetive
0.57,20,60,15000,Sealed
0.57,56,81,15000,Quick
0.57,20,60,15000,Competetive
